timestamp,pid,comm,utime,stime,minflt,majflt,num_threads,voluntary_ctxt_switches,nonvoluntary_ctxt_switches,vm_size_kb,vm_rss_kb,vm_swap_kb,rchar,wchar,syscr,syscw,net_rx_bytes,net_tx_bytes,net_rx_packets,net_tx_packets,net_connections,app_uptime_seconds,cpu_percentage,read_rate_bps,write_rate_bps
2025-11-03 17:03:23,21370,clion,49814,12966,709640,95810,105,13,1,8041140,1226416,535740,105802989,98521166,171293,196949,172318598,48990499,183859,79973,34,5366.75,1.27,2144.40,735619.80
2025-11-03 17:03:28,21370,clion,49838,12976,709640,95810,105,13,1,8041140,1226416,535740,105813308,98523856,171428,197116,172318598,48990499,183859,79973,34,5371.76,1.72,2063.80,538.00
2025-11-03 17:03:33,21370,clion,50098,13005,710503,95958,107,13,1,8041140,1228232,534716,106104988,98564826,171861,197405,172326997,48994685,183880,79990,35,5376.76,14.66,58336.00,8194.00
2025-11-03 17:03:38,21370,clion,50122,13010,710505,95958,107,13,1,8041140,1228232,534716,106115307,98567568,171999,197574,172326997,48994745,183880,79991,35,5381.77,1.48,2063.80,548.40
2025-11-03 17:03:43,21370,clion,50150,13020,710505,95958,107,13,1,8041140,1228232,534716,106127077,98570358,172143,197742,172327591,48995171,183889,79997,32,5386.79,1.93,2354.00,558.00
2025-11-03 17:03:48,21370,clion,50177,13029,710505,95960,107,13,1,8041140,1228232,534716,106137396,98573048,172269,197909,172328214,48995605,183897,80003,32,5391.80,1.83,2063.80,538.00
