timestamp,pid,utime,stime,minflt,majflt,num_threads,voluntary_ctxt_switches,nonvoluntary_ctxt_switches,vm_size_kb,vm_rss_kb,vm_swap_kb,rchar,wchar,syscr,syscw,net_rx_bytes,net_tx_bytes,net_rx_packets,net_tx_packets,net_connections,app_uptime_seconds,cpu_percentage,read_rate_bps,write_rate_bps
2025-11-03 17:00:43,21370,47759,12588,700123,92872,98,13,1,8041076,1182456,559420,104049657,81889639,165617,190975,172143232,46823365,182091,78271,43,5207.02,1.63,2134.20,548.00
2025-11-03 17:00:48,21370,48060,12629,701190,93466,108,13,1,8041136,1186904,555964,104340745,81929248,166061,191263,172144529,46824247,182101,78279,43,5212.03,17.40,58217.60,7921.80
2025-11-03 17:00:53,21370,48088,12641,701200,93481,108,13,1,8041140,1187160,555964,104351421,81932188,166201,191436,172144769,46824427,182105,78282,43,5217.04,2.03,2135.20,588.00
2025-11-03 17:00:58,21370,48115,12649,701202,93482,108,13,1,8041140,1187160,555964,104366435,82017839,166342,191615,172145249,46824607,182113,78285,43,5222.06,1.78,3002.80,17130.20
2025-11-03 17:01:03,21370,48143,12658,701202,93482,108,13,1,8041140,1187160,555964,104377111,82020603,166476,191782,172146351,46825463,182128,78296,43,5227.07,1.88,2135.20,552.80
2025-11-03 17:01:08,21370,48168,12670,701202,93482,108,13,1,8041140,1187160,555964,104387430,82166893,166608,191968,172146771,46825643,182135,78299,43,5232.07,1.87,2063.80,29258.00
2025-11-03 17:01:13,21370,48192,12681,701202,93482,108,13,1,8041140,1187160,555964,104398106,82169633,166744,192133,172147077,46825831,182138,78301,42,5237.09,1.78,2135.20,548.00
