timestamp,pid,cpu_percentage,read_rate_bps,write_rate_bps,utime_jiffies,stime_jiffies,num_threads,vm_size_kb,vm_rss_kb,vm_swap_kb,min_page_faults,maj_page_faults,voluntary_context_switches,nonvoluntary_context_switches,total_read_bytes,total_write_bytes,read_syscalls,write_syscalls,net_rx_bytes,net_tx_bytes,net_rx_packets,net_tx_packets
2025-11-17 17:57:17,35245,200.20,0.00,0.00,998,0,3,35460,1536,0,135,0,1,0,0,0,8,0,276115451,105250746,362940,201716
2025-11-17 17:57:22,35245,199.50,0.00,0.00,1995,0,3,35460,1536,0,135,0,1,0,0,0,8,0,276115589,105250828,362942,201717
2025-11-17 17:57:27,35245,200.10,0.00,0.00,2993,0,3,35460,1536,0,135,0,1,0,0,0,8,0,276115649,105250948,362943,201719
