timestamp,pid,cpu_percentage,read_rate_bps,write_rate_bps,utime_jiffies,stime_jiffies,num_threads,vm_size_kb,vm_rss_kb,vm_swap_kb,min_page_faults,maj_page_faults,voluntary_context_switches,nonvoluntary_context_switches,total_read_bytes,total_write_bytes,read_syscalls,write_syscalls,net_rx_bytes,net_tx_bytes,net_rx_packets,net_tx_packets
2025-11-17 16:15:16,25875,199.66,0.00,0.00,592,2,3,19072,1348,0,131,0,1,0,0,0,8,0,130866674,50475296,182343,104903
2025-11-17 16:15:19,25875,200.34,0.00,0.00,1183,5,3,19072,1348,0,131,0,1,0,0,0,8,0,130876697,50477627,182378,104938
2025-11-17 16:15:22,25875,197.15,0.00,0.00,1767,8,3,19072,1348,0,131,0,1,0,0,0,8,0,130887377,50492960,182425,104985
2025-11-17 16:15:25,25875,199.16,0.00,0.00,2359,9,3,19072,1348,0,131,0,1,0,0,0,8,0,130897046,50495180,182462,105022
2025-11-17 16:15:28,25875,199.83,0.00,0.00,2954,10,3,19072,1348,0,131,0,1,0,0,0,8,0,130907096,50497704,182502,105063
2025-11-17 16:15:31,25875,200.34,0.00,0.00,3549,10,3,19072,1348,0,131,0,1,0,0,0,8,0,130917730,50500171,182542,105103
